permno,date,return,price,shares_outstanding,volume,return_ex_dividends,market_cap,entry_year,total_assets,current_assets,common_equity,cash_equivalents,cost_of_goods_sold,debt_current,debt_long_term,depreciation_amortization,income_before_extraordinary_items,inventories,liabilities_current,liabilities_total,net_income,property_plant_equipment,sales,stockholders_equity
90319,2019-11-29,0.035979,1304.08997,299628.0,263499.0,0.035979,390741869.53116,2010.0,263044.0,148358.0,194969.0,121177.0,14648.0,1125.0,13748.0,2920.0,7068.0,1401.0,39224.0,68075.0,7068.0,79593.0,40499.0,194969.0
90319,2019-12-31,0.027069,1339.39001,299828.0,283058.0,0.027069,401586627.91828,2010.0,263044.0,148358.0,194969.0,121177.0,14648.0,1125.0,13748.0,2920.0,7068.0,1401.0,39224.0,68075.0,7068.0,79593.0,40499.0,194969.0
90319,2020-01-31,0.069726,1432.78003,299895.0,335885.0,0.069726,429683567.09685,2010.0,263044.0,148358.0,194969.0,121177.0,14648.0,1125.0,13748.0,2920.0,7068.0,1401.0,39224.0,68075.0,7068.0,79593.0,40499.0,194969.0
90319,2020-02-28,-0.065279,1339.25,299895.0,416597.0,-0.065279,401634378.75,2010.0,275909.0,152578.0,201442.0,119675.0,17737.0,1199.0,14768.0,3283.0,10671.0,999.0,45221.0,74467.0,10671.0,84587.0,46075.0,201442.0
90319,2020-03-31,-0.132388,1161.94995,300047.0,784324.0,-0.132388,348639596.64765,2010.0,275909.0,152578.0,201442.0,119675.0,17737.0,1199.0,14768.0,3283.0,10671.0,999.0,45221.0,74467.0,10671.0,84587.0,46075.0,201442.0
90319,2020-04-30,0.159,1346.69995,300050.0,563778.0,0.159,404077319.9975,2010.0,273403.0,147018.0,203659.0,117229.0,15879.0,1312.0,15492.0,3103.0,6836.0,889.0,40189.0,69744.0,6836.0,87966.0,41159.0,203659.0
90319,2020-05-29,0.064469,1433.52002,300050.0,361684.0,0.064469,430127682.001,2010.0,273403.0,147018.0,203659.0,117229.0,15879.0,1312.0,15492.0,3103.0,6836.0,889.0,40189.0,69744.0,6836.0,87966.0,41159.0,203659.0
90319,2020-06-30,-0.010792,1418.05005,300221.0,405959.0,-0.010792,425728404.06105,2010.0,273403.0,147018.0,203659.0,117229.0,15879.0,1312.0,15492.0,3103.0,6836.0,889.0,40189.0,69744.0,6836.0,87966.0,41159.0,203659.0
90319,2020-07-31,0.049293,1487.94995,300471.0,409886.0,0.049293,447085809.42644995,2010.0,278492.0,149069.0,207322.0,121080.0,15181.0,2552.0,14727.0,3372.0,6959.0,815.0,43658.0,71170.0,6959.0,90315.0,38297.0,207322.0
90319,2020-08-31,0.095151,1629.53003,300471.0,306406.0,0.095151,489626517.64413,2010.0,278492.0,149069.0,207322.0,121080.0,15181.0,2552.0,14727.0,3372.0,6959.0,815.0,43658.0,71170.0,6959.0,90315.0,38297.0,207322.0
90319,2020-09-30,-0.1006,1465.59998,300641.0,416544.0,-0.1006,440619443.58717996,2010.0,278492.0,149069.0,207322.0,121080.0,15181.0,2552.0,14727.0,3372.0,6959.0,815.0,43658.0,71170.0,6959.0,90315.0,38297.0,207322.0
90319,2020-10-30,0.102695,1616.10999,300644.0,425682.0,0.102695,485873771.83356,2010.0,299243.0,164369.0,212920.0,132596.0,17639.0,2656.0,24886.0,3478.0,11247.0,835.0,48200.0,86323.0,11247.0,93582.0,46173.0,212920.0
90319,2020-11-30,0.08557,1754.40002,300644.0,314723.0,0.08557,527449839.61288,2010.0,299243.0,164369.0,212920.0,132596.0,17639.0,2656.0,24886.0,3478.0,11247.0,835.0,48200.0,86323.0,11247.0,93582.0,46173.0,212920.0
90319,2020-12-31,-0.001003,1752.64001,300730.0,303128.0,-0.001003,527071430.2073,2010.0,299243.0,164369.0,212920.0,132596.0,17639.0,2656.0,24886.0,3478.0,11247.0,835.0,48200.0,86323.0,11247.0,93582.0,46173.0,212920.0
91233,2011-01-31,0.055999,236.50999,122530.0,242948.0,0.05533,28979569.074699998,2013.0,8166.0,6233.0,4842.0,4143.0,625.0,43.0,1.0,36.0,518.0,0.0,2832.0,3315.0,518.0,433.0,1428.0,4842.0
